,id,dealerName,roundCode,resultRaw,betTypeResult
3,520714,Jasmine,58797941,"3,6,6","BIG,ODD,"
2,520715,Jasmine,58797995,"1,2,3","SMALL,EVEN,"
1,520716,Jasmine,58798049,"5,6,6","BIG,ODD,"
51,520717,Jasmine,58798103,"1,5,6","BIG,EVEN,"
50,520718,Jasmine,58798159,"4,5,6","BIG,ODD,"
49,520719,Jasmine,58798209,"2,3,4","SMALL,ODD,"
48,520720,Jasmine,58798267,"3,4,5","BIG,EVEN,"
47,520721,Jasmine,58798314,"3,3,3","SMALL,ODD,"
46,520722,Jasmine,58798360,"2,3,3","SMALL,EVEN,"
45,520723,Jasmine,58798410,"2,3,6","BIG,ODD,"
44,520724,Jasmine,58798463,"2,2,3","SMALL,ODD,"
43,520725,Jasmine,58798516,"3,3,5","BIG,ODD,"
42,520726,Jasmine,58798568,"1,5,6","BIG,EVEN,"
41,520727,Jasmine,58798620,"1,1,6","SMALL,EVEN,"
40,520728,Jasmine,58798677,"3,4,5","BIG,EVEN,"
39,520729,Jasmine,58798728,"3,4,6","BIG,ODD,"
38,520730,Kimm,58798776,"1,3,3","SMALL,ODD,"
37,520731,Kimm,58798823,"3,5,6","BIG,EVEN,"
36,520732,Kimm,58798879,"1,5,6","BIG,EVEN,"
35,520733,Kimm,58798936,"2,6,6","BIG,EVEN,"
34,520734,Kimm,58798989,"2,5,6","BIG,ODD,"
33,520735,Kimm,58799041,"1,5,6","BIG,EVEN,"
32,520736,Kimm,58799093,"1,2,6","SMALL,ODD,"
31,520737,Kimm,58799156,"3,5,5","BIG,ODD,"
30,520738,Kimm,58799203,"3,5,6","BIG,EVEN,"
29,520739,Kimm,58799256,"1,2,2","SMALL,ODD,"
28,520740,Kimm,58799308,"3,4,6","BIG,ODD,"
27,520741,Kimm,58799360,"1,3,4","SMALL,EVEN,"
26,520742,Kimm,58799413,"3,4,6","BIG,ODD,"
25,520743,Kimm,58799465,"4,4,5","BIG,ODD,"
24,520744,Kimm,58799522,"4,4,6","BIG,EVEN,"
23,520745,Kimm,58799571,"2,6,6","BIG,EVEN,"
22,520746,Kimm,58799628,"1,2,5","SMALL,EVEN,"
21,520747,Kimm,58799684,"3,6,6","BIG,ODD,"
